Screen Name,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Bot: 4.0 Threshold
frcarafat,2,21,258,0.08,0,0,396,375,1,0
cryptojonsnow1,0,134,241,0.56,0,0,4367,8853,2,0
sadam37889833,0,4,80,0.05,0,0,19,3,0,1
mertdemir3301,1,125,258,0.48,0,0,1752,750,0,1
katarii79678821,0,0,16,0.0,1,0,8,13,0,0
esilfaruk,1,4,41,0.1,0,0,54,52,0,0
inspireplc,4,14,18,0.78,0,0,275,1358,0,0
cryptokrider,3,2802,4979,0.56,0,0,21886,24519,15,0
kusatarou10,6,36,108,0.33,0,0,665,828,0,0
markle_06,0,6,61,0.1,0,0,88,168,0,0
sightinplain,0,37,192,0.19,1,0,577,354,0,0
thegundogduemre,3,137,234,0.59,0,0,10788,35071,0,0
silvanatigray,0,19,42,0.45,0,0,64,9,0,0
tavonga_chinez,5,8170,5714,1.43,1,0,10677,50287,1,0
ibnquraish1,1,2,122,0.02,0,0,175,155,0,0
terenceleungsf,12,22719,22358,1.02,1,0,12758,11331,202,0
rokkqi,2,17,128,0.13,1,0,32,22,0,0
blockchainlablu,1,62,81,0.77,1,0,16,12,0,0
mariamancke,1,67,238,0.28,0,0,18243,14247,4,0
andrewe81601565,4,37,894,0.04,0,0,1623,309,1,0
romanak25865651,0,3933,4986,0.79,1,0,612,736,0,0
yuhelenyu,4,32416,16853,1.92,1,0,22878,18350,461,1
thetommyk_,1,11744,9430,1.25,1,0,33238,85717,0,0
felix_mines2,0,101,1938,0.05,1,0,8426,6695,1,0
amjadtaj7,2,10,28,0.36,0,0,370,434,0,0
binyamtodela,0,0,60,0.0,0,0,20,0,0,1
accessbank_help,8,185267,40955,4.52,1,1,377886,4048,110,1
